Source,Alternative Names,Reference,Sp Type,System Age Myr,Age range Myr,Sp Type Err,Effective Temperature K,Temp err,Object Mass M_Solar,Accretion Diagnostic,R Band Magnitude,R Band Flux Density (erg/(s*cm^2*Å),Ha EW (Å),Ha Line Flux from R band and EW,PaB EW (Å),BrG EW (Å),Ha Line Flux (erg/(s*cm^2),Hb Line Flux (erg/(s*cm^2),Hgamma Line Flux (erg/(s*cm^2),PaB Line Flux (erg/(s*cm^2),PaG Line Flux (erg/(s*cm^2),BrG Line Flux (erg/(s*cm^2),He I 587.6 Line Flux (erg/(s*cm^2),He I 667.8 Line Flux (erg/(s*cm^2),Ca II K Line Flux (erg/(s*cm^2),Ca II H Line Flux (erg/(s*cm^2),,Line Flux Errors,PaB Line Lum (L_solar),Line Flux erg/s/cm^2,Line Luminosity (W),Log Accretion Luminosity (solar),,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J16281271-2411355,ISO-Oph 193,Gatti 2006,M6,1,.1-1,,2650,150,0.06,EW PaB  & BrG,,,,,1.70E+00,1.90E+00,,,,,,,,,,,,,,,,-8.18E+00,,,,,,,,1.32E-09,-8.88,,,,2.67E+25,,8,,"Gatti+2018, converted from A_j",,,,
2MASS J04141188+2811535,,Herczeg 2008,M6.5,3.16227766,,0.50,2935,,0.065,Excess Balmer,,,,,,,1.50E-13,2.50E-14,1.30E-14,,,,2.30E-15,1.10E-15,1.90E-14,2.30E+00,,,,,,-2.49E+00,,,,,,0.46,,9.00E-10,-9.05,,0.03,,,,1,,Herczeg+2008,,,,
2MASS J04390396+2544264,,Herczeg 2008,M7.25,3.16227766,,0.50,2838,,0.05,Excess Balmer,,,,,,,1.70E-14,1.20E-15,5.40E-16,,,,2.80E-16,1.30E-16,1.30E-16,3.70E-16,,,,,,-4.77E+00,,,,,,0.51,,6.90E-12,-11.16,,0.02,,,,0.8,,Herczeg+2008,,,,
2MASS J04414825+2534304,,Herczeg 2008,M7.75,10,,0.50,2752,,0.035,Excess Balmer,,,,,,,1.70E-14,1.60E-15,8.50E-16,,,,4.10E-16,2.10E-16,2.10E-16,6.20E-16,,,,,,-4.17E+00,,,,,,0.25,,1.90E-11,-10.72,,0.017,,,,1,,Herczeg+2008,,,,
2MASS J04442713+2512164,,Herczeg 2008,M7.25,3.981071706,,0.50,2838,,0.05,Excess Balmer,,,,,,,1.70E-14,3.40E-15,1.50E-15,,,,5.40E-16,1.40E-16,5.30E-16,3.70E-16,,,,,,-4.59E+00,,,,,,0.45,,9.20E-12,-11.04,,0.024,,,,,,,,,,
2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",Herczeg 2008,M8,10,,0.50,2550,,0.024,Excess Balmer,,,,,,,3.70E-14,5.30E-15,2.70E-15,,,,7.40E-17,2.10E-16,2.40E-16,1.78E-15,,,,,,-5.21E+00,,,,,,0.24,,2.30E-12,-11.64,,0.01,,,,0,,Herczeg+2009,,,,
2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",Herczeg 2008,M8,10,,0.50,2550,,0.024,Excess Balmer,,,,,,,1.21E-14,1.90E-15,1.19E-15,,,,4.00E-17,1.70E-16,1.20E-16,7.10E-16,,,,,,-5.36E+00,,,,,,0.24,,1.70E-12,-11.77,,0.01,,,,0,,Herczeg+2009,,,,
2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",Herczeg 2009,M8.25,8,,,2632,,0.035,Excess Balmer,17.99,1.15E-16,1.26E+02,1.45E-14,,,9.33E-15,3.02E-15,2.09E-15,,,,5.50E-16,2.45E-16,2.29E-16,,,,,,,-5.30E+00,,,,,,0.21,,1.26E-12,-11.9,,,,,,0,,Herczeg+2008,,,,
DENIS J160603.9-205644,DENIS-P J160603.9-205644 (original); USco DENIS 160603 (Mohanty 2005)),Herczeg 2009,M7.25,11,,,2838,,0.05,Excess Balmer,19.43,3.04E-17,1.31E+02,3.98E-15,,,8.32E-15,9.77E-16,3.72E-16,,,,8.51E-17,8.71E-17,4.37E-16,,,,,,,-5.10E+00,,,,,,0.41,,2.51E-12,-11.6,,,,,,0,,Herczeg+2009,,,,
Oph J162225-240515A,"Oph 11A, OPH J1622-2405A",Herczeg 2009,M7.25,11,,,2838,,0.054,Excess Balmer,,,2.00E+01,,,,3.24E-16,5.50E-17,2.40E-17,,,,2.00E-17,2.00E-17,1.58E-17,,,he lines are upper limits,,,,-6.60E+00,,,,,,0.25,,5.01E-14,-13.3,,,,,,0,,Herczeg+2009,upper limit,,,
OphJ162225-240515B,"Oph 11B, OPH J1622-2405B",Herczeg 2009,M8.75,11,,,2478,,0.021,Excess Balmer,,,2.70E+02,,,,9.55E-16,2.19E-16,8.32E-17,,,,5.01E-17,1.00E-17,3.47E-17,,,he lines are upper limits,,,,-6.20E+00,,,,,,0.23,,2.51E-13,-12.6,,,,,,0,,Herczeg+2009,,,,
2MASS J11020983-3430355,SSPM J1102-3431,Herczeg 2009,M8.5,8,,,2550,,0.026,Excess Balmer,19.14,3.98E-17,5.00E+01,1.99E-15,,,2.40E-15,5.37E-16,2.95E-16,,,,7.59E-17,4.79E-17,1.23E-16,,,,,,,-6.30E+00,,,,,,0.23,,1.58E-13,-12.8,,,,,,0,,Herczeg+2009,,,,
2MASS J16060374-2219298,Usco J160603.75-221930.0,Herczeg 2009,M8.75,11,,,2478,,0.033,Excess Balmer,,,7.60E+02,,,,2.75E-15,3.31E-16,1.78E-16,,,,4.79E-17,1.74E-17,2.45E-17,,,,,,,-5.60E+00,,,,,,0.17,,5.01E-13,-12.3,,,,,,0,,Herczeg+2009,,,,
2MASS J16072382-2211018,USco J160723.82221102.0,Herczeg 2009,M8.5,11,,,2550,,0.027,Excess Balmer,,,1.15E+01,,,,7.08E-17,,,,,,1.00E-17,1.26E-17,,,,he lines are upper limits,,,,-4.80E+00,,,,,,0.22,,5.01E-12,-11.3,,,,,,0.3,,Herczeg+2009,upper limit,,,
2MASS J15591135-2338002,UScoCTIO 128,Herczeg 2009,M7,11,,,2880,,0.06,Excess Balmer,,,1.02E+02,,,,5.37E-15,2.29E-15,1.74E-15,,,,4.27E-15,1.91E-16,3.02E-16,,,,,,,-4.60E+00,,,,,,0.26,,3.98E-12,-11.4,,,,,,0,,Herczeg+2009,,,,
2MASS J16261882-2426105,ISO-Oph 023,Manara 2015,M7,1,,,2900,75,0.07,Various Line Intensity,,,9.47E+01,,,,1.03E-13,,,3.00E-15,4.00E-15,2.00E-15,,,,,,,,,,-3.51E+00,,0.040,,0.79,,0.79,0.2,1.41E-10,-9.85,,0.02,,,,8.5,,"Gatti+2018, converted from A_j",,,,
2MASS J16262189-2444397,ISO-Oph 032,Manara 2015,M6.5,1,,,2935,50,0.07,Various Line Intensity,17.95,,1.35E+02,,,,2.46E-14,2.69E-15,1.41E-15,6.90E-16,2.78E-15,,5.40E-16,2.90E-16,3.60E-16,,,,,,,-4.09E+00,,0.033,,0.70,,0.7,0.03,3.24E-11,-10.49,,0.01,,,,2,,Natta2004,,,,
2MASS J16262226-2424070,"ISO-Oph 033, GY 11",Manara 2015,M8,1,,,2700,75,0.03,Various Line Intensity,,,1.21E+02,,,,1.30E-14,,,,,,,,,,,,,,,-4.33E+00,,0.005,,0.32,,0.32,0.06,2.00E-11,-10.7,,0.02,,,,7.8,,"Gatti+2018, converted from A_j",,,,
2MASS J16273742-2417548,ISO-Oph 160,Manara 2015,M7.5,1,,,2800,50,0.06,Various Line Intensity,,,1.06E+02,,,,8.50E-14,,1.50E-14,1.10E-14,9.00E-15,2.00E-15,,,,,,,,,,-3.25E+00,,0.030,,0.74,,0.73,0.03,2.75E-10,-9.56,,0.01,,,,6.73,,"Gatti+2018, converted from A_j",,,,
2MASS J16273863-2438391,"ISO-Oph 164, GY 310",Manara 2015,M8,1,,,2700,50,0.05,Various Line Intensity,,,6.34E+01,,,,1.05E-13,2.80E-14,,1.50E-14,4.40E-14,,7.00E-15,3.00E-15,,,,,,,,-2.82E+00,,0.052,,1.05,,1.05,0.05,1.26E-09,-8.9,,,,,,6.73,,"Gatti+2018, converted from A_j",,,,
2MASS J16274629-2431411,ISO-Oph 176,Manara 2015,M7.5,1,,,2800,50,0.06,Various Line Intensity,,,7.28E+00,,,,8.00E-15,,,,,,,,,,,,,,,-4.60E+00,,0.057,,1.02,,1.02,0.04,1.86E-11,-10.73,,0.08,,,,7,,Natta2004,,,,
2MASS J12073346-3932539,2MASS 1207-3932 (Original),Mohanty 2005,M8.0,8,,,2700,,0.035,Ca II,17.99,1.15E-16,2.77E+01,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,1.26E-11,-10.9,,,,,,0,,Herczeg+2008,upper limit,Accretion rate equation 1,corrected coordinates from 181.75 -39.533,
2MASS J12073346-3932539,2MASS 1207-3932 (Original),Mohanty 2005,M8.0,8,,,2700,,0.035,Ca II,17.99,1.15E-16,2.77E+01,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,7.94E-12,-11.1,,,,,,0,,Herczeg+2008,upper limit,Accretion rate equation 3,corrected coordinates from 181.75 -39.533,
2MASS J04394748+2601407,"CFHT 4, CFHT-BD-Tau 4",Mohanty 2005,M7.0,1,,,2900,,0.06,Ca II,,,7.90E+01,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,2.00E-11,-10.7,,,,,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04394748+2601407,"CFHT 4, CFHT-BD-Tau 4",Mohanty 2005,M7.0,1,,,2900,,0.06,Ca II,,,7.90E+01,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,1.26E-11,-10.9,,,,,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J16273863-2438391,"ISO-Oph 164, GY 310",Mohanty 2005,M7.0,1,,,2900,,0.06,Ca II,,,1.72E+01,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,3.98E-11,-10.4,,,,,,6,,Natta+2002,,disk classification from Luhman 1999 Accretion rate equation 1,,
2MASS J16273863-2438391,"ISO-Oph 164, GY 310",Mohanty 2005,M7.0,1,,,2900,,0.06,Ca II,,,1.72E+01,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,2.51E-11,-10.6,,,,,,6,,Natta+2002,,disk classification from Luhman 1999 Accretion rate equation 3,,
Cl* IC 348 LRL 291,,Mohanty 2005,M7.25,1,,,2850,,0.05,Ca II,19.47,2.93E-17,3.24E+01,,,,,,,,,,,,,,,,,4.36,,,,,,,,,,1.58E-11,-10.8,,,,,,1.06,,"Luhman+2003, converted from A_J",upper limit,Accretion rate equation 1,,
Cl* IC 348 LRL 291,,Mohanty 2005,M7.25,1,,,2850,,0.05,Ca II,19.47,2.93E-17,3.24E+01,,,,,,,,,,,,,,,,,4.36,,,,,,,,,,1.00E-11,-11,,,,,,1.06,,"Luhman+2003, converted from A_J",upper limit,Accretion rate equation 3,,
Cl* IC 348 LRL 415,,Mohanty 2005,M6.5,1,,,2950,,0.07,Ca II,,,8.00E+01,,,,,,,,,,,,,,,,,5.68,,,,,,,,,,3.98E-10,-9.4,,,,,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
Cl* IC 348 LRL 415,,Mohanty 2005,M6.5,1,,,2950,,0.07,Ca II,,,8.00E+01,,,,,,,,,,,,,,,,,5.68,,,,,,,,,,1.58E-10,-9.8,,,,,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
2MASS J04190126+2802487,KPNO Tau 12,Mohanty 2005,M9.0,1,,,2400,,0.02,Ca II,,,2.07E+02,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,3.16E-11,-10.5,,,,,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04190126+2802487,KPNO Tau 12,Mohanty 2005,M9.0,1,,,2400,,0.02,Ca II,,,2.07E+02,,,,,,,,,,,,,,,,,4.62,,,,,,,,,,2.00E-11,-10.7,,,,,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04272799+2612052,KPNO Tau 4,Mohanty 2005,M9.5,1,,,2300,,0.015,Ca II,20.54,1.10E-17,6.84E+01,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,7.94E-12,-11.1,,,,,,2.16,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04272799+2612052,KPNO Tau 4,Mohanty 2005,M9.5,1,,,2300,,0.015,Ca II,20.54,1.10E-17,6.84E+01,,,,,,,,,,,,,,,,,4.08,,,,,,,,,,6.31E-12,-11.2,,,,,,2.16,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04300724+2608207,KPNO Tau 6,Mohanty 2005,M8.5,1,,,2550,,0.025,Ca II,20.56,1.08E-17,7.75E+01,,,,,,,,,,,,,,,,,4.34,,,,,,,,,,1.58E-11,-10.8,,,,,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04300724+2608207,KPNO Tau 6,Mohanty 2005,M8.5,1,,,2550,,0.025,Ca II,20.56,1.08E-17,7.75E+01,,,,,,,,,,,,,,,,,4.34,,,,,,,,,,1.00E-11,-11,,,,,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04305718+2556394,KPNO Tau 7,Mohanty 2005,M8.25,1,,,2650,,0.03,Ca II,,,1.22E+02,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,1.00E-11,-11,,,,,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04305718+2556394,KPNO Tau 7,Mohanty 2005,M8.25,1,,,2650,,0.03,Ca II,,,1.22E+02,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,6.31E-12,-11.2,,,,,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
DENIS J160603.9-205644,USco DENIS 160603 (original); DENIS-P J160603.9-205644 (Herczeg 2009),Mohanty 2005,M7.5,11,,,2800,,0.04,Ca II,,,7.00E+01,,,,,,,,,,,,,,,,,4.32,,,,,,,,,,1.58E-11,-10.8,,,,,,0,,Herczeg+2009,upper limit,Accretion rate equation 1,,
DENIS J160603.9-205644,USco DENIS 160603 (original); DENIS-P J160603.9-205644 (Herczeg 2009),Mohanty 2005,M7.5,11,,,2800,,0.04,Ca II,,,7.00E+01,,,,,,,,,,,,,,,,,4.32,,,,,,,,,,1.00E-11,-11,,,,,,0,,Herczeg+2009,upper limit,Accretion rate equation 3,,
Cl* IC 348 LRL 382,,Muzerolle 2003,M6.5,2,,,,,0.04,Ha 10% width,,,7.00E+01,,,,,,,,,,,,,,,,,,,1.27E-07,,0.012,,,,0.5,,5.01E-11,-10.3,0.04,,,5.09E+26,,5.1,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,2.77,
Cl* IC 348 LRL 415,,Muzerolle 2003,M6.25,2,,,,,0.04,Ha 10% width,,,1.52E+02,,,,,,,,,,,,,,,,,,,1.27E-06,,0.010,,,,0.5,,5.01E-10,-9.3,0.04,,,5.09E+27,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,1.35,
2MASS J04321606+1812464,MHO 5,Muzerolle 2003,M6,0.1258925412,,,,,0.09,Ha 10% width,,,6.00E+01,,,,,,,,,,,,,,,,,,,9.06E-08,,0.066,,,,0.5,,1.58E-11,-10.8,0.09,,,3.62E+26,,0.3,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,0.11,
2MASS J11013205-7718249,2M J11013205-7718249 (original),Muzerolle 2005,M8,2,,,2710,,0.035,Ha 10% width,,,6.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,0,,"Luhman+2007 , converted from A_j",,,,
2MASS J04141188+2811535,,Muzerolle 2005,M6.25,1,,0.50,2962,,0.075,Ha 10% width,,,2.50E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,-10,,,,,,1,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04381486+2611399,,Muzerolle 2005,M7.25,1,,0.35,2838,,0.07,Ha 10% width,20.33,1.33E-17,4.70E+01,6.25E-16,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,-10.8,,,,,,10.6,4,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04390396+2544264,,Muzerolle 2005,M7.25,1,,0.25,2838,,0.05,Ha 10% width,18.40,7.86E-17,1.02E+02,8.02E-15,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,-11.3,,,,,,0.8,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04414825+2534304,,Muzerolle 2005,M7.75,1,,0.25,2752,,0.035,Ha 10% width,,,2.34E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,-11.3,,,,,,1,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04554801+3028050,,Muzerolle 2005,M5.6,1,,0.25,3014,,0.075,Ha 10% width,,,1.40E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,-12,,,,,,1,,Herczeg+2008,upper limit,,,
2MASS J11011926-7732383,,Muzerolle 2005,M7.25,2,,,2838,,0.05,Ha 10% width,19.40,3.13E-17,1.01E+01,3.16E-16,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,-12,,,,,,1.59,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
2MASS J11070324-7610565,,Muzerolle 2005,M6,2,,,2990,,0.07,Ha 10% width,,,9.30E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,-12,,,,,,0.39,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
2MASS J04363893+2258119,CFHT 3,Muzerolle 2005,M7.75,1,,,2752,,0.035,Ha 10% width,,,1.05E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,-12,,,,,,0.81,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04394748+2601407,"CFHT 4 (original), CFHT-BD-Tau 4",Muzerolle 2005,M7,1,,,2880,,0.06,Ha 10% width,,,1.29E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,-11.3,,,,,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,corrected coordinates as they incorrectly matched CFHT 3,
[NC98] Cha HA 1,,Muzerolle 2005,M7.75,2,,,2752,,0.035,Ha 10% width,,,1.18E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,-11.3,,,,,,0.2,,Natta+ 2004,,,corrected coordinates from SIMBAD (original: 166.5708 -77.5981   ),
[NC98] Cha HA 10,,Muzerolle 2005,M6.25,2,,,2962,,0.07,Ha 10% width,,,7.10E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,-12,,,,,,0.1,,Natta+ 2004,upper limit,,,
[NC98] Cha HA 11,,Muzerolle 2005,M7.25,2,,,2838,,0.055,Ha 10% width,,,1.43E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,-11,,,,,,0,,Natta+ 2004,,,,
[NC98] Cha HA 12,,Muzerolle 2005,M6.5,2,,,2935,,0.075,Ha 10% width,,,1.46E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,-12,,,,,,0.6,,"Luhman+2007 , converted from A_j",upper limit,,,
[NC98] Cha HA 7,,Muzerolle 2005,M7.75,2,,,2752,,0.035,Ha 10% width,,,2.60E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,-12,,,,,,0.3,,Natta+ 2004,upper limit,,,
CHSM 17173,,Muzerolle 2005,M8,2,,,2710,,0.03,Ha 10% width,,,8.53E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,-12,,,,,,0,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
CHSM 7869,,Muzerolle 2005,M6,2,,,2990,,0.07,Ha 10% width,,,7.20E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,-10,,,,,,1.6,,"Luhman+2007 , converted from A_j",,disk classification from Luhman et al. 2008,,
ISO-Oph 138,ISO-Oph 138,Muzerolle 2005,M6.5,1,,,2935,,0.065,Ha 10% width,,,1.24E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,-12,,,,,,10.9,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J04190126+2802487,KPNO Tau 12,Muzerolle 2005,M9,1,,,2400,,0.02,Ha 10% width,,,6.68E+01,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,-11.4,,,,,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04185115+2814332,KPNO Tau 2,Muzerolle 2005,M7.5,1,,,2795,,0.045,Ha 10% width,,,3.90E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,-12,,,,,,0.46,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04272799+2612052,KPNO Tau 4,Muzerolle 2005,M9.5,1,,,2300,,0.011,Ha 10% width,20.54,1.10E-17,3.84E+01,4.22E-16,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,-12,,,,,,2.16,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04294568+2630468,KPNO Tau 5,Muzerolle 2005,M7.5,1,,,2795,,0.04,Ha 10% width,19.10,4.12E-17,2.64E+01,1.09E-15,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,-12,,,,,,0.13,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04300724+2608207,KPNO Tau 6,Muzerolle 2005,M8.5,1,,,2555,,0.025,Ha 10% width,20.56,1.08E-17,4.11E+01,4.44E-16,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-11.4,,,,,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04305718+2556394,KPNO Tau 7,Muzerolle 2005,M8.25,1,,,2632,,0.03,Ha 10% width,,,3.11E+01,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,-11.4,,,,,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
