Sixth Catalog of Orbits of Visual Binary Stars: Orbits																																	
RA(2000).	DEC(2000)	WDS.......	DD............	ADS..	HD....	HIP...	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee	E.EEEEEE	e.eeeeee	OOO.OOOO	eee.eeee	EQNX	LAST	G	N	REF.....	PNGFILE...........
24128.89	405250.8	02415+4053	COU1511		16656	12552	8.7		8.7		22.18	y		0.124	a		147		217.2		1988.64	y		0.474		287		2000	1996	3	n	Hrt2001b	wds02415+4053a.png
24214.93	401139.8	02422+4012	MCA   8		16739	12623	5.5		5.9		330.98209	d		53.18	m	0.15	128.17	0.14	49.29		1993.33956	y		0.6574		269.29			2004	8	n	Bgn2006	wds02422+4012r.png
24219.72	492458.5	02423+4925	HU  539	2051	16692	12632	9.22		9.52		175	y		0.222	a		144.1		19.4		2007.1	y		0.684		124.7		2000	1995	4		USN2002	wds02423+4925a.png
24221.31	383707.2	02424+3837	"EVT   1Aa,Ab"		16760	12638	7.11	k	10		466.5	d	0.4	25.5	m	2.8	2.6	0.5	86.9	1.1	53336.5	m	3	0.084	0.003	243	2		2009	3		EvT2012	wds02424+3837a.png
24221.92	200041.7	02424+2001	"BLA   1Aa,Ab"	2062	16811	12640	5.69		6.2		8.845	y	0.046	0.0563	a	0.0008	71.2	1.1	101	1	1981.099	y	0.063	0.337	0.023	92.3	1.7	2000	1996	2	n	Msn1997a	wds02424+2001a.png
24320.92	192545.2	02433+1926	BAG  20		16909	12709	8.2		11.3		1214	d		31.24	m	6.15	76.48	6.25	27.39	11.56	44185.5	d		0.521		117			1991	9	n	HIP1997d	wds02433+1926r.png
24326.61	-664251.2	02434-6643	FIN 333		17326	12717	6.51		8.19		33.31	y		0.465	a		91.2		212.6		1994.63	y		0.96		119.9		2000	2010	3	n	Msn2011a	wds02434-6643d.png
24326.61	-664251.2	02434-6643	FIN 333		17326	12717	6.51		8.19		83.73	y		0.509	a		90		34.1		1998.06	y		0.423		269.2		2000	2013	3	n	Doc2015a	wds02434-6643i.png
24327.11	274225.8	02435+2742	35 Ari		16908	12719	4.64				490	d		6.52	m	1.52	154.96	21.77	66.46	35.99	48581.4141	d	60.6149	0.14		320			1991	9	n	HIP1997d	wds02435+2742r.png
24335.5	-625508.8	02436-6255	CP-63  179		17289	12726	7.44				562.1	d	0.4	10.8	m	0.7	173.2	0.5	2.5	3.9	53762.5	d	0.9	0.532	0.004	52.4	0.6			9		SaJ2011	wds02436-6255o.png
24411.99	491342.4	02442+4914	STF 296AB	2081	16895	12777	4.16		10		2720	y		22.289	a		75.44		128		1613	y		0.13		100.64		1900	1956	5	n	Hop1958	wds02442+4914a.png
24414.51	-252943.9	02442-2530	"FIN 379Aa,Ab"		17134	12780	7.5		8.1		6.7039	y	0.005	0.0996	a	0.0006	42.37	0.98	4.6	2.2	2008.843	y	0.014	0.5066	0.0064	8.9	3.3	2000	2010	2	n	Hrt2012a	wds02442-2530k.png
24536.86	-711409.4	02456-7114	HDS 357		17653	12884	6.79		10.56		78.7	y		0.545	a		116.1		160.8		2041.99	y		0.401		256.6		2000	2010	4		Hrt2011d	wds02456-7114k.png
24544.77	-394301.8	02457-3943	B  2077A		17354	12894	7.79				841	d	30	10.1	m	1.4	123	8	285	94	48839	d	128	0.28	0.17	114	100		1991	9		Gln2007	wds02457-3943r.png
24559.63	-45723.2	02460-0457	BU   83A	2111	17251	12912	7.53		9.39		36	y		0.08	a		50		110		1900.5	y		0.15		280		1900	1968	9	n	Dom1972a	wds02460-0457r.png
24559.63	-45723.2	02460-0457	BU   83	2111	17251	12912	7.73		9.64		716.26	y		2.38	a		101.4		147.7		2418.03	y		0.51		290.2		2000	2010	5	n	Hrt2011d	wds02460-0457k.png
24703.6	353317.3	02471+3533	BU    9AB	2117	17240	12990	6.42		8.64		616	y		1.882	a		67.3		174		1952	y		0.1		21.5		2000	2009	5		Zir2015a	wds02471+3533i.png
24727.35	192220	02475+1922	STF 305AB	2122	17332	13027	7.52		8.25		531.49	y		2.307	a		111.1		133		1761.81	y		0.619		18.4		2000	2011	4	n	Msn2014b	wds02475+1922i.png
24747.63	812655.2	02478+8127	HR  774		16458	13055	5.79				2018	d		8.12	m	0.77	85	13.7	279	16	46344	d		0.09		120			1992	9		Jnc2005	wds02478+8127s.png
24808.97	270408.2	02482+2704	GC 3359		17382	13081	7.6				15.5	y		0.039	a		84		54		1986.5	y		0		0		2000	1989	9		Hei1990d	wds02481+2704r.png
25111.57	14049.5	02512+0141	A  2338	2177		13302	9.9		10.6		162.096	y	20.169	0.4712	a	0.0704	73	1	127	4.3	1975.489	y	4.332	0.6097	0.0218	114	4.4	2000	1996	5		Ole2003d	wds02512+0141k.png
25121.23	-213840.9	02514-2139	DON  43		17884		9.8		10		108.42	y		0.242	a		52.1		29.6		1972.75	y		0.362		94.1		2000	2015	5		Doc2015e	wds02514-2139o.png
25139.69	455844.9	02517+4559	A  1281AB	2173	17647	13336	8.97		10.72		158.27	y		0.52	a		43.8		167.5		1938.15	y		0.354		149.6		2000	2012	4	n	Hrt2014a	wds02517+4559f.png
25142.71	-523334.2	02517-5234	HU 1562		18025	13341	8.79		9.71		65	y	6.18	0.264	a	0.005	111.7	5.2	237.4	3.1	2021.92	y	0.35	0.876	0.029	6.1	10.4	2000	2014	4	n	Tok2015c	wds02517-5234o.png
25342.58	382015.6	02537+3820	BU  524AB	2200	17904	13490	5.79		6.8		11553.9	d	8.7	0.2224	a	0.0011	120.48	0.2	26.62	0.24	50255	m	12	0.756	0.0023	265.54	0.11	2000	2008	2	n	Mut2010b	wds02537+3820a.png
25351.15	-443620.4	02539-4436	I  1480		18198	13498	7.95		9.76		52.45	y		0.27	a		38.9		315.2		1954.42	y		0.825		352		2000	2010	4		Hrt2012a	wds02539-4436k.png
25415.46	524545	02543+5246	"LAB   1Aa,Ab"	2202	17879	13531	3.95		7.5		4.149	y		0.055	a		94.5		100.6		2013.888	y		0.728		54.1		2000	1994	4	n	Doc2014f	wds02543+5246i.png
25538.89	265225.3	02556+2652	STF 326AB	2218	18143	13642	7.68		10.02								81.5		34.55		2248	y		1		308.2		1900	1955	7	n	Hop1967	
25611.32	725310.4	02563+7253	STF 312AB	2204	17785	13677	8.16		8.92		2037.66	y	58.53	3.88	a	0.042	59.8	0.2	14.5	0.2	2137.36	y	52.99	0.506	0.006	115.6	0.6	2000	2003	5		Cve2006e	wds02563+7253b.png
25713.19	-245830.4	02572-2458	"BEU   4Ca,Cb"	2242	18455	13768	8.24		9.3		1.518	y	0.001	0.062	a	0.002	160.4	12	2	9.1	2007.088	y	0.021	0.54	0.024	341.8	11	2000	2014	2	n	Tok2015c	wds02572-2458o.png
25714.69	-245809.9	02572-2458	BU  741AB	2242	18455	13772	8.06		8.2		149.89	y	4.48	1.425	a	0.077	83	0.2	163.5	0.5	1870.68	y	4.22	0.602	0.016	260.8	1.6	2000	2009	3	n	FMR2012g	wds02572-2458c.png
25714.9	15315.3	02572+0153	A  2413	2236	18368	13773	8.28		8.62		124.4	y		0.632	a		70.1		185.1		1930.27	y		0.449		101.3		2000	2008	3	n	Hrt2010a	wds02572+0153b.png
25835.99	240801.7	02586+2408	BU 1173AB	2246	18442	13867	8.3		8.35		296.96	y	69	0.377	a	0.001	76.6	1.7	105.5	2.7	2029.02	y	3.1	0.607	0.058	70.6	9.9		2008	4	n	Hrt2009	wds02586+2408a.png
25853.11	213703.9	02589+2137	BU  525	2253	18484	13892	7.47		7.45		241.903	y		0.442	a		60.06		92.5		1846.948	y		0.217		317.36			1974	4	n	Csa1978	wds02589+2137a.png
25912.73	212025.6	02592+2120	STF 333AB	2257	18519	13914	5.17		5.57		1215.913	y	1.54	2.174	a	0.035	84.2	0.8	25.6	0.7	704.111	y	1.778	0.317	0.006	162.1	1	2000	2007	4	n	FMR2012g	wds02592+2120b.png
30020.37	-111739.3	03003-1118	A  2611	2283	18740		9.7		9.7		74.4	y		0.16	a		46.4		220		1950	y		0.51		314		2000	2008	4	n	Hrt2010a	wds03003-1118a.png
30031.19	393421.3	03005+3934	A  1530	2273	18567	14020	9.29		10.11		127.8	y	7.2	0.4924	a	0.0038	83.14	1.08	79.31	1.7	2020.7	y	3.5	0.739	0.053	78.72	1.59	2000	2008	4		Hrt2011a	wds03005+3934k.png
30037.99	475306.4	03006+4753	A  1529	2271	18549	14029	8.1		9.68		105.48	y	2	0.159	a	0.005	98	0.5	165.4	3	1966	y	5	0.731	0.1	208.1	1.5	2000	2004	4	n	Tam2006	wds03006+4753b.png
30122.67	61457.6	03014+0615	HDS 385		18774	14075	9.52		9.97		15.27	y	0.09	0.117	a	0.001	52.5	0.7	347.4	1	2012.9	y	0.07	0.397	0.004	2.7	2.4	2000	2014	2	n	Tok2015c	wds03014+0615o.png
30215.57	181945	03023+1820	A  2414	2301		14132	10.54		10.41		256	y		0.432	a		53		22.7		1906	y		0.3		269		2000		5	n	Hei1997	wds03023+1820a.png
30328.58	230341.3	03035+2304	HDS 389AB		18940	14230	7.38		9.1		5.91	y	0.07	0.11	a	0.005	68.5	2.1	21.4	0.9	1999.31	y	0.04	0.876	0.009	144.1	1.9	2000	2003	3		Bag2005	wds03035+2304a.png
30447.79	533023.2	03048+5330	"WRH  29Aa,Ab"	2324	18925	14328	2.93		4.4		14.593	y	0.0046	0.1439	a	0.73	90.6	0.71	244.2	0.28	1947.279	y	0.0083	0.786	0.0038	169.6	0.71			2	n	Pbx2000b	wds03048+5330a.png
30526.69	251518.7	03054+2515	STF 346AB	2336	19134	14376	6.21		6.19		227	y		0.47	a		77.5		92.8		1938.5	y		0.73		323		2000	1980	3	n	Hei1981a	wds03054+2515a.png
30810.13	405720.3	03082+4057	"CSI   1Aa1,2"	2362	19356	14576	2.12	v			2.867328	d	0.00005	2.15	m	0.05	98.7	0.65	43.43	0.32	41771.353	d	0.007	0	0	270	0		2010	4	n	CIA2012b	wds03082+4057h.png
30810.13	405720.3	03082+4057	"LAB   2Aa,Ab"	2362	19356	14576	2.12	v	4.6	v	680.168	d	0.046	93.43	m	0.11	83.66	0.03	132.66	0.08	46927.22	d	0.57	0.227	0.002	310.02	0.26		2010	1	n	CIA2012b	wds03082+4057k.png
30931.15	454401.2	03095+4544	HDS 404			14669	10.32		12.5		28.31	y	0.07	0.569	a	0.007	96.8	0.3	13.2	0.2	2009.16	y	0.07	0.138	0.004	165.6	1	2000	2003	3		Bag2005	wds03095+4544a.png
30936.3	51210.6	03096+0512	A  2030	2373	19620	14676	8.58		9.2		54.455	y		0.261	a		148.7		53.7		1943.408	y		0.48		277		1900	1974	3	n	Sta1978b	wds03096+0512a.png
30952.74	-65333.5	03099-0654	UX Eri			14699	10.64				42.8	y	13	110	m		79							0.6						7	n	Pbl2006	
31006.57	214449.5	03101+2145	BU 1030AB	2375	19616	14715	7.81		9.67		571	y		0.802	a		123.7		97.4		2156	y		0.084		90.3		2000	2007	5		Zir2012b	wds03101+2145f.png
31204.29	-285920.4	03121-2859	HJ 3555	2402	20010	14879	3.98		7.19		269	y		4	a		81		117		1947	y		0.73		43		2000		4	n	Sod1999	wds03121-2859a.png
31209.59	371303.3	03122+3713	STF 360	2390	19771	14886	8.02		8.29		871	y		3.66	a		98		111		1454	y		0.71		105		2000	2002	5	n	WSI2004a	wds03122+3713a.png
31225.68	-442510.8	03124-4425	JC    8AB		20121	14913	6.42		7.36		45.2	y		0.41	a		165		110		1977.5	y		0.9		118		2000		3	n	Sod1999	wds03124-4425a.png
31239.1	713320.7	03127+7133	STT  50AB	2377	19475	14944	8.43		8.46		309	y		1.02	a		135.9		14.3		2087	y		0.4		5.6		2000	2009	4	n	Sca2012b	wds03127+7133f.png
31246.32	-11145.4	03128-0112	HJ  663AB	2406	19994	14954	5.06		11		1420	y		6.77	a		114.1		84.13		1982	y		0.26		247.74		2000	1990	5	n	Hle1994	wds03128-0112a.png
31246.32	-11145.4	03128-0112	HJ  663B	2406	19994	14954	11				740	d		0.064	a		95											2000	2008	7	n	Sef2008b	
31257.08	441714.7	03130+4417	STT  51	2397	19822	14969	8.51		8.74		598	y	117	0.998	a	0.106	43	16	148.6	30.7	2051.69	y	6.74	0.718	0.099	308.9	17	2000	2009	5		Lin2012a	wds03130+4417k.png
31402.91	4421.3	03140+0044	STF 367	2416	20115	15058	8.14		8.17		753	y	84	1.32	a	0.13	132.5	2.8	123.7	7.8	1883	y	27	0.281	0.02	254	30	2000	2012	4	n	RAO2015	wds03140+0044i.png
31507.58	161812.9	03151+1618	HU 1055AB	2429		15134	9.4		9.9		100.5	y	4.6	0.442	a	0.045	126	7	227	16	1991.3	y	0.69	0.975	0.006	286	10	2000	1996	4		Hrt2000a	wds03151+1618a.png
31614.02	581001.4	03162+5810	MLB 115AB	2427		15220	10.3		11.38		780.31	y		5.072	a		135.4		174.6		2119.72	y		0.017		219.4		2000	2005	5		Zir2008	wds03162+5810c.png
31731.54	653930.1	03175+6540	STT  52AB	2436	20104	15309	7.06		7.4		350	y		0.458	a		135		58		2055	y		0.4		100				4	n	Hei1998	wds03175+6540a.png
31744.01	383821.1	03177+3838	STT  53AB	2446	20347	15329	7.73		8.5		113.5	y		0.53	a		137.2		118.4		1928.31	y		0.76		46.4		2000		3	n	Alz1998a	wds03177+3838a.png
31822.1	-223040.1	03184-2231	SEE  23	2463	20610	15382	6.57		5.32		112.4	y		0.327	a		65.6		89.2		1914.7	y		0.043		91.8		2000	1999	3	n	USN2002	wds03184-2231a.png
31822.28	-5548.5	03184-0056	AC    2AB	2459	20559	15383	5.6		7.97		282.42	y		0.978	a		64.82		72.76		2138.23	y		0.27		0		2000	1992	4	n	Pop1997f	wds03184-0056a.png
31827.14	151041.1	03185+1511	LDS6150A		20512	15394	7.41				3089.4	d		21.9	m	3	137.2	5.9	81	10	51190.3	d		0.86		71.7			1992	9	n	Jnc2005	wds03185+1511r.png
31852.91	-10108.9	03189-0101	BU 1177	2464	20601	15430	10.28		10.38		220.58	y		0.45	a		121.8		25		1903.42	y		0.16		26.9			1983	5	n	Baz1989a	wds03189-0101a.png
31935.36	671415.2	03196+6714	HU 1056	2452	20274	15482	8.72		8.89		603	y		1.386	a		99.2		83.3		2010.2	y		0.18		15.4		2000	2012	5		Zir2015a	wds03196+6714i.png
32118.1	103747.4	03213+1038	HEI 449		20779	15633	9.19		9.43		28.25	y		0.155	a		117.5		57.5		2001.42	y		0.793		185.8		2000	2010	4		Zir2012	wds03213+1038k.png
32143.84	84523.5	03217+0845	STF 380	2491	20837		9.02		9.81		520.754	y		0.9424	a		164.14		67.75		2114.34	y		0.2705		164.38		2000	1988	5	n	Pop1996b	wds03217+0845a.png
32335.23	-400435.4	03236-4005	I   468		21175	15799	6.8		11		237.68	y		2.548	a		41.6		319.5		1971.45	y		0.505		30.9		2000	2014	5	n	Tok2015c	wds03236-4005o.png
32424.73	-153913.8	03244-1539	A  2909AB	2524	21161	15868	8.4		8.4		11.345	y		0.172	a		71.3		16.2		2013.744	y		0.507		283		2000	2013	3	n	Doc2015a	wds03244-1539i.png
32608.81	122854.7	03261+1229	A   829	2531	21261	16008	8.82		10.38		111.38	y	3.93	0.417	a	0.012	120.6	2	260.1	2.4	1985.1	y	0.79	0.743	0.018	77.2	1.9	2000	2003	4	n	Hrt2008	wds03261+1229b.png
32621.05	352026.1	03264+3520	HDS 430		21183	16025	8.8		10.58		54.7	y		0.273	a		41.2		54.4		2021.61	y		0.091		313.4		2000	2010	4		Cve2015b	wds03264+3520o.png
32635.36	284255.2	03266+2843	"UX Ari Aa1,2"		21242	16042	9.84				6.437855	d	0	1.71	m	0	59.2	0	82	34	50642.00075	d	0	0	0	180	0		2009	8	n	Ptn2011	wds03266+2843x.png
32635.36	284255.2	03266+2843	"CHR   9Aa,Ab"		21242	16042	9.84		6.69		40548.6	d	70.2	648	m	0.7	93.3	0.6	58.9	0.5	51664.9	d	34.3	0.77	0.01	274.9	0.8		2009	5	n	Ptn2011	wds03266+2843a.png
32703.2	184523.6	03271+1845	CHR  10		21335	16077	6.6				19.757	y		0.0886	a		40.6		119		1987.24	y		0.145		21.1			1991	4	n	Ole1999	wds03271+1845a.png
32710.12	94358	03272+0944	HDS 433		21364	16083	3.74		7.55		50.81	y	0.62	0.439	a	0.004	26.7	1.2	109.4	2.9	2008.43	y	0.04	0.571	0.004	8	2.9	2000	2014	3	n	Tok2015c	wds03272+0944o.png
32752.07	-194818.8	03279-1948	GC 4128		21531	16134	8.39				503.3852	d	12.6924	19.37	m	1.98	35.04	8.98	115.13	22.29	48343.4375	d	28.7336	0.3235	0.1095	235.07	24.07		1991	9	n	HIP1997d	wds03279-1948r.png
32823.56	601520.6	03284+6015	A   980AB	2538	21203	16177	6.73		8.29		231	y		0.38	a		133.4		147.7		1961	y		0.18		68		1950	1988	4	n	Baz1994	wds03284+6015a.png
32836	-303403.1	03286-3034	NLTT 11035			16192	11.54				695	d	25	13.3	m	2.8	56	9	140	98	48753	d	182	0.08	0.24	82	73		1991	9		Gln2007	wds03286-3034r.png
33040.06	-192608	03307-1926	HDS 441		21841	16345	8.22		8.47		18.964	y		0.218	a		102.7		17.8		2007.281	y		0.5		84.4		2000	2014	3		Cve2015b	wds03307-1926o.png
33052.37	125612.1	03309+1256	5 Tau		21754	16369	4.14				960	d		4.25	m	1.51	36.95	29.53	207.61	37.37	47546.5703	d	79.6215	0.397		326.32			1991	9	n	HIP1997d	wds03309+1256r.png
33059.31	293649.3	03310+2937	A   983	2578	21674	16376	9.64		10.24		587	y		0.748	a		63.2		150.8		1964.83	y		0.591		245.3		2000	2007	4	n	Doc2010d	wds03310+2937b.png
33205.1	434011.5	03321+4340	COU1688AB		21727	16467	8.56		8.9		9.15	y		0.144	a		43.7		26.5		1987.02	y		0.08		303.9		2000	1986	4	n	Baz1993d	wds03321+4340a.png
33341.23	575207.1	03337+5752	CHR 117		21794	16602	6.36		6.6		14.47	y	0.07	0.12	a	0.001	46	1	235	1	1990.15	y	0.03	0.35	0.01	236	1		1998	2	n	Bag2002	wds03337+5752a.png
33356.81	-310449.1	03339-3105	B    52		22262	16628	6.69		7.63		19.36	y	0.05	0.224	a	0.003	85.7	0.8	140.8	0.7	1997.19	y	0.17	0.363	0.011	11.1	4.1	2000	2014	2	n	Tok2015c	wds03339-3105o.png
33412.97	483702.9	03342+4837	BU  787AB	2609	21931	16649	7.38		11.9		655.8	y	27.3	4.99	a	1.78	70	2.7	130.5	0.9	2264.9	y	13.5	0.261	0.93	291.6	10.9	2000	2010	5	n	Cve2011c	wds03342+4837l.png
33426.62	242752.1	03344+2428	STF 412AB	2616	22091	16664	6.6		6.86		522.16	y		0.625	a		157.2		13		1911.62	y		0.679		238.1		2000	2000	3	n	Sca2002a	wds03344+2428a.png
33501.04	600229	03350+6002	STF 400AB	2612	21903	16712	6.79		7.97		244.52	y		1.052	a		67.1		82.6		1939.07	y		0.669		35.1			1996	3	n	USN2000b	wds03350+6002a.png
33537.86	314049.3	03356+3141	BU  533AB	2628	22195	16757	7.55		7.74		463	y		0.992	a		94.8		42.7		1776.6	y		0.11		15.3		2000	2012	4		Zir2015a	wds03356+3141i.png
33609.47	422021.9	03362+4220	A  1535	2630	22193	16793	8.84		9.54		145.05	y	8.72	0.531	a	0.01	48.1	4	156.8	3.6	1940.32	y	2.85	0.372	0.034	8.5	11.7	2000	2003	3	n	Hrt2008	wds03362+4220a.png
33630.85	101107.7	03365+1011	A   830	2639	22376	16830	9.94		10.37		219	y		0.325	a		125.7		18		2066.2	y		0.31		167.1		2000	2003	5		Zir2012b	wds03365+1011f.png
33647.3	3515.9	03368+0035	STF 422	2644	22468	16846	6		8.9		2101	y		8.023	a		32.07		92.35		1900	y		0.18		151.97		1900	1954	5	n	Hop1964b	wds03368+0035a.png
33653.32	-495728.9	03369-4957	SEE  29A		22705	16853	7.62				201	d	2	5.1	m	0.7	80	7	36	7	48400	d		0	0.3	65			1993	9	n	Mkr2007a	wds03369-4957r.png
33728.02	310712.6	03375+3107	GC 4314		22418	16900	7.01				717.1133	d	43.0233	8.79	m	0.97	135.11	15.65	14.25	26.19	48169.875	d	52.0617	0		0			1991	9	n	HIP1997d	wds03375+3107r.png
33857.34	423219	03390+4232	NLTT 11456		22521	17022	6.74				1093	d	82	12.8	m	3.4	66	7	252	98	48699	d	202	0.49	0.25	140	128		1991	9		Gln2007	wds03390+4232r.png
34007.24	340659.3	03401+3407	STF 425A	2668	22692	17129	7.52				106.5	y		0.179	a		106.8		65.5		1980.19	y		0.612		77.8		2000		9		FMR2014c	wds03401+3407f.png
34012.48	-193534.3	03402-1936	GC 4392		22921	17138	6.93				706.5027	d	100.5719	3.51	m	0.8	137.99	20.32	115.86	22.84	48563.875	d	52.3959	0		0			1991	9	n	HIP1997d	wds03402-1936r.png
34115.91	455345	03413+4554	BU 1181AB	2680	22743	17217	8.2		9.9		46.2	y	1.1	0.27	a	0.13	90.3	3.6	269.9	4.5	1974.8	y	1.7	0.79	0.76	50.1	9	2000	2012	3	n	RAO2015	wds03413+4554i.png
34209.35	631300.3	03422+6313	BD Cam		22649	17296	5.12				596.2	d		2.3	m	0.6	105.6	18.7	162.1	20.1	42794.5	d		0.088		334.3	19		1993	9	n	Pbx2000a	wds03422+6313s.png
34215.9	314049.5	03423+3141	COU 691				9		9		55.88	y		0.155	a		66.2		66.5		1961.93	y		0.141		258.2		2000	2007	3	n	Doc2010d	wds03423+3141c.png
34236.96	171736.3	03426+1718	GC 4435		23052	17336	7.09				1000.6828	d	29.5905	32.12	m	1.49	78.27	1.55	79.5	1.86	48024.4023	d	10.0292	0		0			1991	9	n	HIP1997d	wds03426+1718r.png
34322.04	-93351.2	03434-0934	GJ 3247				14.59				5.309	y	0.049	21.9	m	1.3	143.6	7.5	97.9	12.4	2001.84	y	0.14	0.17	0.03	62	14.3		2012	9		Lur2014	wds03434-0934i.png
34400.54	522807.8	03440+5228	A  1289	2710	23006	17427	10.07		10.38		265	y		0.32	a		51.5		147.4		2080	y		0.633		75.7		2000	1995	5		USN2002	wds03440+5228a.png
34411.55	-644825.5	03442-6448	"TOK 191Aa,Ab"		23817	17440	4		6.8		1911.5	d		27.1	m	2.5	82.85	3.36	22.39	6.82	48872.4805	d	18.5393	0.21		13.8			1991	9	n	HIP1997d	wds03442-6448r.png
34444.9	275517.3	03447+2755	STT4038B		23257	17482	6.77				699	d	28	13.2	m	2.5	132	10	205	94	48535	d	228	0.27	0.22	100	96		1991	9		Gln2007	wds03447+2755r.png
34448.83	460209	03448+4602	BAG   8AB		23140	17491	7.8		10.5		13.877	y	0.016	0.2574	a	0.0046	101.37	0.12	281.1	1	1992.092	y	0.016	0.2764	0.003	74.85	0.25		2001	3	n	Bag2002b	wds03448+4602a.png
34512.49	242802.1	03453+2428	Pleiades H 156		23338	17531	4.6		6.1		2.02	y		0.055	a		83.6		84.6		1989.92	y		0.456		225.5		2000	1994	9		Ole2003b	wds03453+2428r.png
34524.12	-275144.9	03454-2752	BU 1003	2756	23588	17544	8.39		11.12		286.34	y	4.83	2.145	a	0.092	34.7	4	81.7	3.6	1997.42	y	3.95	0.479	0.107	101.7	9.8	2000	2001	5	n	Cve2008a	wds03454-2752b.png
34616	241123.5	03463+2411	BU  536AB	2755	23479		8.13		9.39		885.64	y	385.32	1.211	a	0.124	99.3	2.3	175.3	0.7	1877.9	y	73.36	0.314	0.002	245.5	62.5		2008	4	n	Hrt2009	wds03463+2411a.png
34722.88	225520	03474+2255	SAO 76196		23610	17694	8.2				980.5113	d	83.2956	5.88	m	2.01	54.82	12.44	137.64	12.91	48534.5234	d	29.7977	0		0			1991	9	n	HIP1997d	wds03474+2255r.png
34749.02	321143.4	03478+3212	HR 1164		23626	17732	6.27				277.89	d	0.05	23.9	m	0.7	69.3	3.2	299.3	4.1	50783.5	d	1	0.143	0.004	160.5	1.4	2000	1991	9	n	Ren2010	wds03478+3212r.png
34801.34	684036.8	03480+6840	KUI  13BC		23189	17750	10.66		11.16		44.21	y		0.44	a		152.8		46.2		1982.06	y		0.55		17		1950	1982	4	n	Baz1986a	wds03480+6840a.png
34813.42	221850.9	03482+2219	EQ Tau				11.2				50.2	y	18		m		86.6							0.37	0.12					7	n	Pbl2006	
34823	520216.3	03484+5202	HU  546	2768	23524	17782	9.54		9.53		69.37	y	0.49	0.344	a	0.005	148.2	2.9	264.3	4.6	1973.87	y	0.95	0.173	0.012	51.3	8.1		2007	2	n	Hrt2009	wds03484+5202a.png
34851.57	114231.7	03489+1143	A   831	2785	23874	17826	8.54		10		192	y		0.434	a		64.5		165.2		2051	y		0.452		30.5		2000	1995	4		USN2002	wds03489+1143a.png
34856.54	644454.1	03489+6445	STT  62	2765	23406	17831	8.06		9.05		178.15	y	12.22	0.382	a	0.008	52.3	3.6	158.6	3.2	1944.47	y	8.14	0.124	0.058	47.1	19.6	2000	2003	2	n	Hrt2008	wds03489+6445a.png
34908.12	435746.9	03491+4358	V376 Per		23728	17846	5.96	v			1318.1971	d	170.4159	9.55	m	1.21	81.95	14.56	161.79	9.07	48363.1641	d	38.5925	0		0			1991	9	n	HIP1997d	wds03491+4358r.png
34909.73	240312.7	03492+2403	"MKT  12Aa1,2"	2786	23850	17847	3.84		5.46		290.984	d	0.079	13.08	m	0.12	107.87	0.49	154	0.7	50583	d	1.9	0.2385	0.0063	151.9	2.2		2000	1	n	Zwa2004	wds03492+2403b.png
34924.67	-195608.1	03494-1956	RST2324				10		10		85.71	y		0.245	a		143		17.6		1995.14	y		0.606		27.6		2000	2011	4		Cve2012	wds03494-1956f.png
34936.62	631749.6	03496+6318	CAR   1		23523	17891	6.31		7.11		10.31	y		0.103	a		38.4		179.1		1997.93	y		0.452		111.9		2000	2012	2	n	Zir2013b	wds03496+6318f.png
34938.68	-21942.5	03496-0220	YR   23		24031	17895	7.73		8.29		54	y	29	0.49	a	0.12	114.5	1.4	234	23	1992.8	y	3.4	0.75	0.012	105	12	2000	2012	5	n	RAO2015	wds03496-0220i.png
35004.45	445804.5	03501+4458	CHR 126		23838	17932	6.2		7.5		962.8	d		4	m	0.6	85.2	2.3	72.9	6.2	42288.1	d		0.72		108.8		2000		9	n	Ren2013	wds03501+4458f.png
35018.91	253446.7	03503+2535	STT  65	2799	23985	17954	5.73		6.52		61.2	y	0.1	0.442	a	0.002	84.7	0.1	26.4	0.2	1998.3	y	0.08	0.628	0.002	340.3	0.7		2008	2	n	DRs2012	wds03503+2535k.png
35120.24	262113.6	03513+2621	A  1830AB	2811	24104		8.02		8		291.6	y	27.19	0.284	a	0.062	103.6	6	15.3	4.8	1976.77	y	27.9	0.45	0.223	143.1	14.2	2000	1995	5	n	Ole2005d	wds03513+2621b.png
35200.23	63205.6	03520+0632	KUI  15AB		24263	18089	6.26		6.56		871	y		0.925	a		96.1		28.6		1909.3	y		0.66		73.7		2000	2012	4	n	Zir2015a	wds03520+0632i.png
35202.24	243947.6	03520+2440	BOV  27AB				10.6	k	10.9	k	30.16	y	0.27	80.84	m	0.4	47.67	0.34	22.77	0.56	2011.949	y	0.012	0.5562	0.0018	41.51	0.29	2000	2014	3	n	Sfr2014	wds03520+2440f.png
35343.64	531622.9	03537+5316	A  1293AB	2828	24203	18218	8.62		9.46		56.39	y		0.282	a		47.25		36.83		1955.5	y		0.67		50.07			1986	3	n	Lin1992b	wds03537+5316a.png
35423.18	-402125.3	03544-4021	FIN 344AB		24744	18262	6.5		6.5		14.03	y	0.04	0.0614	a	0.0005	32.4	1.5	247.4	2	2008.05	y	0.04	0.579	0.008	49.7	2.3	2000	2014	2	n	Tok2015c	wds03544-4021o.png
